;ABI.BR;ADSGn.DE;ADYEN.AS;AD.AS;AIRP.PA;AIR.PA;ALVG.DE;AMA.MC;ASML.AS;AXAF.PA;SAN.MC;BASFn.DE;BMWG.DE;BAYGn.DE;BNPP.PA;CRH.I;DAIGn.DE;DANO.PA;DPWGn.DE;DB1Gn.DE;DTEGn.DE;ENEI.MI;ENGIE.PA;ENI.MI;ESLX.PA;FLTRF.I;IBE.MC;ITX.MC;INGA.AS;ISP.MI;PRTP.PA;KNEBV.HE;OREP.PA;LVMH.PA;LINI.DE;MUVGn.DE;NOKIA.HE;PERP.PA;PHG.AS;PRX.AS;SAF.PA;SASY.PA;SAPG.DE;SCHN.PA;SIEGn.DE;TOTF.PA;SGEF.PA;VIV.PA;VOWG_p.DE;VNAn.DE
28/02/2011;40,415;46,5;;9,765441745;62,26475171;20,96;104,4;14,085;32,44235273;15,22;5,931283402;60,26;58,78;55,2864571;56,58;16,785;51,05;45,43;13,29;55,64;9,745;4,318;28,57318;17,67;51,75;28,6352708;4,462127469;10,492;9,087;2,292171388;100,5189841;19,775;84,24;102,9651848;;120,95;5,884503144;66,81;23,18959188;;25,78;50;43,72;59,95;85,24911863;44,41;43,1909973;19,99354972;122,9;
01/03/2011;41,12;46,515;;9,788530269;61,91297345;20,65;103,5;14,1;32,64863061;15,035;5,828390405;59,82;59,67;54,80425055;55,12;16,31;51,02;45,595;13,1;55,03;9,7;4,27;27,96524;17,48;52,65;28,96530443;4,39649757;10,474;8,968;2,230271506;101,3871026;19,545;83,6;103,9114731;;120,9;5,931354284;67,65;22,96906533;;26;50,58;43,695;60,05;84,13098284;43,465;42,68601315;19,73225938;120,95;
02/03/2011;40,17;47,03;;9,736330128;61,65411775;20,32;102,4;14,055;32,88069322;14,705;5,735454795;60,33;58;55,00106955;54,33;15,865;49,6;45,005;12,935;55,17;9,751;4,258;27,43997984;17,45;51,08;28,58673644;4,325927785;10,368;8,755;2,23214726;100,7017459;19,2;83,54;101,9738351;;118,1;5,884503144;67,48;22,72893642;;25,45;51,07;43,665;59,075;83,24870381;43,36;43,17614483;19,39354968;119,2;
03/03/2011;41,11;47,65;;9,476333272;62,36431159;19,78;104,2;14,21;33,74706029;14,945;5,640527708;60,96;58,09;56,22134735;54,17;16,07;49,18;45,23;12,97;55,87;9,698;4,238;27,80960736;17,55;51,79;28,39259901;4,272294749;10,388;8,802;2,224644244;100,5189841;19,265;82,97;101,7935897;;118,25;5,818911549;67,28;23,12098362;;25,66;51,46;44,1;61;84,06983479;43,84;43,83955538;19,33548516;119,05;
04/03/2011;41,5;46,89;;9,455252446;62,4174102;19,695;104,65;14,035;33,66454914;15,01;5,536307059;60,6;57,78;55,72929985;53,21;15,905;48,235;44,87;12,81;55,75;9,709;4,224;27,1627592;17,61;51,94;28,53820208;4,227130087;10,454;8,88;2,245277538;100,6560555;19,035;82,68;100,5318719;;119,2;5,67835813;66,75;23,38071489;;25,455;51,1;44,05;59,875;83,33605817;43,96;43,13653823;19,24354967;117,1;
07/03/2011;41,01;46,89;;9,547606542;61,81341357;19,3;104,5;14,32;32,7466126;14,845;5,469924481;61,26;57,74;55,502958;52,23;15,85;48,595;44,515;12,82;55,62;9,63;4,214;26,81744928;17,65;51,53;28,6352708;4,211604734;10,66;8,85;2,207762458;101,0215791;19,19;81,84;101,7935897;;118;5,622136762;65,78;23,19939306;;25,415;50,48;43,765;59,05;82,62848787;43,7;43,21575143;19,2580658;115,95;
08/03/2011;41,07;47,26;;9,537568053;62,31121299;19,84;104,15;14,025;32,54033472;15,225;5,517719937;59,96;57,97;55,2864571;53,2;15,97;49,25;44,58;12,815;56,07;10,01;4,218;26,80285872;17,95;51,53;28,68380516;4,227130087;10,522;8,843;2,243401784;99,97069878;19,27;82,7;103,0102461;;118,6;5,67835813;66,88;23,49832905;;25,78;50,55;43,37;58,425;82,35768936;43,65;43,27516133;19,34516258;118,65;
09/03/2011;41,425;47,01;;9,586756647;62,55679404;20,06;104,3;14,15;32,12777897;15,11;5,495813686;59,39;58,14;55,0109105;52,7;15,45;49,82;44,505;12,935;55,06;10,1;4,238;26,68127072;17,77;52,32;28,72263264;4,217956015;10,452;9,088;2,2509048;99,55948475;20,08;82,47;103,5960437;;118,4;5,772060409;66,91;23,36601312;;26,1;50,28;42,72;58,4;82,00827192;43,1;43,19594813;19,42258194;118,45;
10/03/2011;41,375;47,15;;9,626910602;61,84660019;19,785;102;13,755;30,57038102;14,915;5,420801372;58,73;57,12;54,31220305;52,6;15,305;48,705;44,75;12,975;54,8;10,21;4,176;26,54509216;17,59;52,26;28,92647694;4,174908446;10,6;9,006;2,217141228;99,14827073;19,75;82,3;101,9287737;;116,75;5,725209269;66,2;23,0817789;;25,545;50,67;43,15;57,575;80,76784003;42,605;42,84443955;19,48548517;114,2;
11/03/2011;41,07;46,115;;9,511467983;60,864276;19,655;99,82;13,56;30,31253368;14,61;5,373005916;58,39;56,3;53,7709508;53,14;15,18;47,79;44,27;12,945;54,08;10,16;4,15;26,49645696;17,46;51,99;28,69351203;4,206664849;10,534;8,937;2,183377656;99,14827073;19,465;81,64;99,13497;;111,75;5,697098586;65,38;22,73383701;;25,24;49,39;42,325;57,225;79,71958772;42,255;42,61175078;19,10322708;114,3;
